Name,Nation,Followers,Data
Josh Kerr,Australia,20k,"#32,5,11.01,2007,Regular,2007 Men's CT,
                39
            ,
            ,Mar 29, 1984,
        ,
        ,
            5 ft, 9 in
        ,
     ,173 cm,152 lbs, ,69 kg,Tweed Heads, NSW, Australia"
Freddy Patacchia Jr.,Hawaii,"3,841","#32,6,11.47,2005,Goofy,2002 Men's CT,
                41
            ,
            ,Dec 15, 1981,
        ,
        ,
            5 ft, 8 in
        ,
     ,172 cm,164 lbs, ,74 kg,Haleiwa, Hawaii"
Miguel Pupo,Brazil,45k,"#26,4,9.69,2011,Goofy,2008 Men's QS,
                31
            ,
            ,Nov 19, 1991,
        ,
        ,
            5 ft, 9 in
        ,
     ,175 cm,160 lbs, ,73 kg, Itanhaém, São Paulo, Brazil"
Nat Young,United States,17k,"#23,3,9.67,2013,Goofy,2008 Men's QS,
                31
            ,
            ,Jun 17, 1991,
        ,
        ,
            5 ft, 11 in
        ,
     ,180 cm,165 lbs, ,75 kg,Santa Cruz, California, USA"
Sebastian Zietz,Hawaii,21k,"#41,4.40,2013,Regular,2008 Men's QS,
                35
            ,
            ,Feb 6, 1988,
        ,
        ,
            6 ft, 1 in
        ,
     ,183 cm,169 lbs, ,77 kg,Kilauea, Hawaii, USA"
C.J. Hobgood,United States,"6,285","#23,10,11.06,1999,Goofy,1999 Men's CT,
                43
            ,
            ,Jul 6, 1979,
        ,
        ,
            5 ft, 9 in
        ,
     ,173 cm,149 lbs, ,68 kg,Melbourne, Florida, USA"
Jordy Smith,South Africa,78k,"#15,5,11.59,2008,Regular,2006 Men's CT,
                35
            ,
            ,Feb 11, 1988,
        ,
        ,
            6 ft, 3 in
        ,
     ,190 cm,194 lbs, ,88 kg,Durban, KwaZulu-Natal, South Africa"
Kai Otton,Australia,"7,012","#28,8,11.69,3.14,Goofy,2007 Men's CT,
                43
            ,
            ,Dec 16, 1979,
        ,
        ,
            5 ft, 11 in
        ,
     ,180 cm,168 lbs, ,76 kg,Tathra, New South Wales, Australia"
Joel Parkinson,Australia,37k,"#24,10,11.78,2001,Regular,1999 Men's CT,
                42
            ,
            ,Apr 10, 1981,
        ,
        ,
            6 ft, 1 in
        ,
     ,183 cm,180 lbs, ,82 kg,Nambour, Queensland, Australia"
Julian Wilson,Australia,82k,"#20,6,10.52,2011,Regular,2007 Men's CT,
                34
            ,
            ,Nov 8, 1988,
        ,
        ,
            6 ft, 1 in
        ,
     ,183 cm,180 lbs, ,82 kg,Coolum Beach, Queensland, Australia"
Gabriel Medina,Brazil,209k,"#7,13,12.86,2012,Goofy,2008 Men's QS,
                29
            ,
            ,Dec 22, 1993,
        ,
        ,
            5 ft, 11 in
        ,
     ,180 cm,169 lbs, ,77 kg,Maresias, São Paulo, Brazil"
Taj Burrow,Australia,20k,"#55,5.15,1998,Regular,1996 Men's CT,
                44
            ,
            ,Jun 2, 1978,
        ,
        ,
            5 ft, 9 in
        ,
     ,175 cm,158 lbs, ,72 kg,Busselton, Western Australia, Australia"
Filipe Toledo,Brazil,172k,"#2,14,11.90,2013,Regular,2009 Men's QS,
                28
            ,
            ,Apr 16, 1995,
        ,
        ,
            5 ft, 9 in
        ,
     ,175 cm,154 lbs, ,70 kg,Ubatuba, São Paulo, Brazil"
Mick Fanning,Australia,114k,"#37,1,12.17,2002,Regular,1999 Men's CT,
                41
            ,
            ,Jun 13, 1981,
        ,
        ,
            5 ft, 11 in
        ,
     ,178 cm,174 lbs, ,79 kg,Penrith, New South Wales, Australia"
Kelly Slater,United States,167k,"#27,4,9.41,1990,Regular,1989 Men's CT,
                51
            ,
            ,Feb 11, 1972,
        ,
        ,
            5 ft, 9 in
        ,
     ,175 cm,160 lbs, ,73 kg,Cocoa Beach, Florida, USA"
John John Florence,Hawaii,189k,"#6,13,13.90,2012,Regular,2008 Men's QS,
                30
            ,
            ,Oct 18, 1992,
        ,
        ,
            6 ft, 2 in
        ,
     ,186 cm,174 lbs, ,79 kg,North Shore, Oahu, Hawaii"
Adriano de Souza,Brazil,99k,"#15,5,10.27,2005,Regular,2006 Men's CT,
                36
            ,
            ,Feb 13, 1987,
        ,
        ,
            5 ft, 7 in
        ,
     ,170 cm,145 lbs, ,66 kg,Guarujá, São Paulo, Brazil"
